1.4517 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
104.1587 	EXP 	grating: ori = 4.0
104.1587 	EXP 	Fixation: autoDraw = True
105.1584 	EXP 	Fixation: autoDraw = False
105.1584 	EXP 	grating: autoDraw = True
105.4744 	EXP 	grating: autoDraw = False
105.7785 	EXP 	New trial (rep=37, index=0): None
105.7827 	DATA 	Keypress: down
105.7905 	EXP 	Fixation: autoDraw = False
105.7905 	EXP 	grating: autoDraw = False
105.7905 	EXP 	grating: ori = 0.0
105.7905 	EXP 	Fixation: autoDraw = True
106.7896 	EXP 	grating: autoDraw = True
106.8062 	EXP 	Fixation: autoDraw = False
107.0894 	EXP 	grating: autoDraw = False
107.5410 	EXP 	New trial (rep=38, index=0): None
107.5418 	DATA 	Keypress: up
107.5554 	EXP 	Fixation: autoDraw = False
107.5554 	EXP 	grating: autoDraw = False
107.5554 	EXP 	grating: ori = 0.0
107.5554 	EXP 	Fixation: autoDraw = True
108.5546 	EXP 	grating: autoDraw = True
108.5713 	EXP 	Fixation: autoDraw = False
108.8541 	EXP 	grating: autoDraw = False
109.5068 	EXP 	New trial (rep=39, index=0): None
109.5083 	DATA 	Keypress: up
109.5202 	EXP 	Fixation: autoDraw = False
109.5202 	EXP 	grating: autoDraw = False
109.5202 	EXP 	grating: ori = 0.0
109.5202 	EXP 	Fixation: autoDraw = True
110.5195 	EXP 	Fixation: autoDraw = False
110.5195 	EXP 	grating: autoDraw = True
110.8190 	EXP 	grating: autoDraw = False
111.3040 	DATA 	Keypress: up
111.3220 	EXP 	New trial (rep=40, index=0): None
111.3351 	EXP 	Fixation: autoDraw = False
111.3351 	EXP 	grating: autoDraw = False
111.3351 	EXP 	grating: ori = 1.0
111.3351 	EXP 	Fixation: autoDraw = True
112.3342 	EXP 	grating: autoDraw = True
112.3508 	EXP 	Fixation: autoDraw = False
112.6341 	EXP 	grating: autoDraw = False
113.3037 	EXP 	New trial (rep=41, index=0): None
113.3050 	DATA 	Keypress: down
113.3163 	EXP 	Fixation: autoDraw = False
113.3163 	EXP 	grating: autoDraw = False
113.3163 	EXP 	grating: ori = -1.0
113.3163 	EXP 	Fixation: autoDraw = True
114.3157 	EXP 	Fixation: autoDraw = False
114.3157 	EXP 	grating: autoDraw = True
114.6151 	EXP 	grating: autoDraw = False
115.3025 	EXP 	New trial (rep=42, index=0): None
115.3046 	DATA 	Keypress: down
115.3146 	EXP 	Fixation: autoDraw = False
115.3146 	EXP 	grating: autoDraw = False
115.3146 	EXP 	grating: ori = 0.0
115.3146 	EXP 	Fixation: autoDraw = True
116.3136 	EXP 	grating: autoDraw = True
116.3302 	EXP 	Fixation: autoDraw = False
116.6133 	EXP 	grating: autoDraw = False
120.2461 	EXP 	New trial (rep=43, index=0): None
120.2474 	DATA 	Keypress: up
120.2597 	EXP 	Fixation: autoDraw = False
120.2597 	EXP 	grating: autoDraw = False
120.2597 	EXP 	grating: ori = 0.0
120.2597 	EXP 	Fixation: autoDraw = True
121.2588 	EXP 	grating: autoDraw = True
121.2754 	EXP 	Fixation: autoDraw = False
121.5583 	EXP 	grating: autoDraw = False
122.0112 	EXP 	New trial (rep=44, index=0): None
122.0126 	DATA 	Keypress: up
122.0247 	EXP 	Fixation: autoDraw = False
122.0247 	EXP 	grating: autoDraw = False
122.0247 	EXP 	grating: ori = 0.0
122.0247 	EXP 	Fixation: autoDraw = True
123.0237 	EXP 	grating: autoDraw = True
123.0402 	EXP 	Fixation: autoDraw = False
123.3232 	EXP 	grating: autoDraw = False
123.7264 	EXP 	New trial (rep=45, index=0): None
123.7279 	DATA 	Keypress: up
123.7396 	EXP 	Fixation: autoDraw = False
123.7396 	EXP 	grating: autoDraw = False
123.7396 	EXP 	grating: ori = 0.0
123.7396 	EXP 	Fixation: autoDraw = True
124.7389 	EXP 	grating: autoDraw = True
124.7553 	EXP 	Fixation: autoDraw = False
125.0382 	EXP 	grating: autoDraw = False
126.8905 	EXP 	New trial (rep=46, index=0): None
126.8919 	DATA 	Keypress: down
126.9032 	EXP 	Fixation: autoDraw = False
126.9032 	EXP 	grating: autoDraw = False
126.9032 	EXP 	grating: ori = -4.0
126.9032 	EXP 	Fixation: autoDraw = True
127.9023 	EXP 	grating: autoDraw = True
127.9189 	EXP 	Fixation: autoDraw = False
128.2019 	EXP 	grating: autoDraw = False
128.6881 	EXP 	New trial (rep=47, index=0): None
128.6895 	DATA 	Keypress: up
128.7013 	EXP 	Fixation: autoDraw = False
128.7013 	EXP 	grating: autoDraw = False
128.7013 	EXP 	grating: ori = 0.0
128.7013 	EXP 	Fixation: autoDraw = True
129.7004 	EXP 	Fixation: autoDraw = False
129.7004 	EXP 	grating: autoDraw = True
130.0000 	EXP 	grating: autoDraw = False
130.5206 	EXP 	New trial (rep=48, index=0): None
130.5224 	DATA 	Keypress: up
130.5328 	EXP 	Fixation: autoDraw = False
130.5328 	EXP 	grating: autoDraw = False
130.5328 	EXP 	grating: ori = 1.0
130.5328 	EXP 	Fixation: autoDraw = True
131.5320 	EXP 	grating: autoDraw = True
131.5487 	EXP 	Fixation: autoDraw = False
131.8316 	EXP 	grating: autoDraw = False
132.3185 	EXP 	New trial (rep=49, index=0): None
132.3200 	DATA 	Keypress: down
132.3312 	EXP 	Fixation: autoDraw = False
132.3312 	EXP 	grating: autoDraw = False
132.3312 	EXP 	grating: ori = 0.0
132.3312 	EXP 	Fixation: autoDraw = True
133.3302 	EXP 	grating: autoDraw = True
133.3469 	EXP 	Fixation: autoDraw = False
133.6298 	EXP 	grating: autoDraw = False
134.1333 	EXP 	New trial (rep=50, index=0): None
134.1349 	DATA 	Keypress: down
134.1461 	EXP 	Fixation: autoDraw = False
134.1461 	EXP 	grating: autoDraw = False
134.1461 	EXP 	grating: ori = 0.0
134.1461 	EXP 	Fixation: autoDraw = True
135.1451 	EXP 	grating: autoDraw = True
135.1617 	EXP 	Fixation: autoDraw = False
135.4446 	EXP 	grating: autoDraw = False
136.0818 	EXP 	New trial (rep=51, index=0): None
136.0843 	DATA 	Keypress: up
136.0942 	EXP 	Fixation: autoDraw = False
136.0942 	EXP 	grating: autoDraw = False
136.0942 	EXP 	grating: ori = 3.0
136.0942 	EXP 	Fixation: autoDraw = True
137.0934 	EXP 	grating: autoDraw = True
137.1099 	EXP 	Fixation: autoDraw = False
137.3929 	EXP 	grating: autoDraw = False
137.9285 	EXP 	New trial (rep=52, index=0): None
137.9298 	DATA 	Keypress: down
137.9424 	EXP 	Fixation: autoDraw = False
137.9424 	EXP 	grating: autoDraw = False
137.9424 	EXP 	grating: ori = 0.0
137.9424 	EXP 	Fixation: autoDraw = True
138.9416 	EXP 	grating: autoDraw = True
138.9582 	EXP 	Fixation: autoDraw = False
139.2412 	EXP 	grating: autoDraw = False
140.1775 	EXP 	New trial (rep=53, index=0): None
140.1792 	DATA 	Keypress: down
140.1901 	EXP 	Fixation: autoDraw = False
140.1901 	EXP 	grating: autoDraw = False
140.1901 	EXP 	grating: ori = 0.0
140.1901 	EXP 	Fixation: autoDraw = True
141.1895 	EXP 	grating: autoDraw = True
141.2058 	EXP 	Fixation: autoDraw = False
141.4887 	EXP 	grating: autoDraw = False
141.8923 	EXP 	New trial (rep=54, index=0): None
141.8939 	DATA 	Keypress: down
141.9051 	EXP 	Fixation: autoDraw = False
141.9051 	EXP 	grating: autoDraw = False
141.9051 	EXP 	grating: ori = -3.0
141.9051 	EXP 	Fixation: autoDraw = True
142.9042 	EXP 	grating: autoDraw = True
142.9208 	EXP 	Fixation: autoDraw = False
143.2039 	EXP 	grating: autoDraw = False
143.7405 	EXP 	New trial (rep=55, index=0): None
143.7422 	DATA 	Keypress: down
143.7534 	EXP 	Fixation: autoDraw = False
143.7534 	EXP 	grating: autoDraw = False
143.7534 	EXP 	grating: ori = 0.0
143.7534 	EXP 	Fixation: autoDraw = True
144.7524 	EXP 	grating: autoDraw = True
144.7690 	EXP 	Fixation: autoDraw = False
145.0519 	EXP 	grating: autoDraw = False
145.5204 	EXP 	New trial (rep=56, index=0): None
145.5213 	DATA 	Keypress: up
145.5347 	EXP 	Fixation: autoDraw = False
145.5347 	EXP 	grating: autoDraw = False
145.5347 	EXP 	grating: ori = -1.0
145.5347 	EXP 	Fixation: autoDraw = True
146.5340 	EXP 	grating: autoDraw = True
146.5506 	EXP 	Fixation: autoDraw = False
146.8336 	EXP 	grating: autoDraw = False
147.7191 	EXP 	New trial (rep=57, index=0): None
147.7203 	DATA 	Keypress: down
147.7326 	EXP 	Fixation: autoDraw = False
147.7326 	EXP 	grating: autoDraw = False
147.7326 	EXP 	grating: ori = 0.0
147.7326 	EXP 	Fixation: autoDraw = True
148.7319 	EXP 	grating: autoDraw = True
148.7484 	EXP 	Fixation: autoDraw = False
149.0313 	EXP 	grating: autoDraw = False
149.4346 	EXP 	New trial (rep=58, index=0): None
149.4361 	DATA 	Keypress: down
149.4477 	EXP 	Fixation: autoDraw = False
149.4477 	EXP 	grating: autoDraw = False
149.4477 	EXP 	grating: ori = 1.0
149.4477 	EXP 	Fixation: autoDraw = True
150.4469 	EXP 	Fixation: autoDraw = False
150.4469 	EXP 	grating: autoDraw = True
150.7464 	EXP 	grating: autoDraw = False
151.7998 	EXP 	New trial (rep=59, index=0): None
151.8015 	DATA 	Keypress: down
151.8119 	EXP 	Fixation: autoDraw = False
151.8119 	EXP 	grating: autoDraw = False
151.8119 	EXP 	grating: ori = -4.0
151.8119 	EXP 	Fixation: autoDraw = True
152.8112 	EXP 	grating: autoDraw = True
152.8278 	EXP 	Fixation: autoDraw = False
153.1109 	EXP 	grating: autoDraw = False
153.8979 	EXP 	New trial (rep=60, index=0): None
153.8996 	DATA 	Keypress: down
153.9099 	EXP 	Fixation: autoDraw = False
